a	(-AH0_)
quashing	(K W-AO1_)(SH-IH0_NG)
quasi	(K W-AA1_)(S-IY0_)
quasimodo	(K-AE0_)(Z-IY0_)(M-OW1_)(D-OW0_)
quassia	(K W-AA1_)(SH-IY0_)(-AH0_)
quast	(K W-AA1_S T)
quaternary	(K W-AA1_)(T-ER0_)(N-EH2_)(R-IY0_)
quattlebaum	(K W-AO1_)(T-AH0_L)(B-AW0_M)
quattro	(K W-AO1_)(T R-OW0_)
quattrocchi	(K W-AA0_)(T R-OW1_)(K-IY0_)
quattrochi	(K W-AA0_)(T R-OW1_)(K-IY0_)
quattrone	(K W-AA0_)(T R-OW1_)(N-IY0_)
quave	(K W-EY1_V)
quay	(K-IY1_)
quaye	(K-EY1_)
quayle	(K W-EY1_L)
quayles	(K W-EY1_L Z)
quazulu	(K W-AA2_)(Z-UW1_)(L-UW0_)
qubilah	(K-UW1_)(B-IH0_)(L-AH0_)
quddus	(K-UW1_)(D-UW2_S)
que	(K Y-UW1_)
quealy	(K W-IY1_)(L-IY0_)
queasiness	(K W-IY1_)(Z-IY0_)(N-AH0_S)
queasy	(K W-IY1_)(Z-IY0_)
queau	(K W-OW1_)
quebec	(K W-AH0_)(B-EH1_K)
quebecker	(K W-AH0_)(B-EH1_)(K-ER0_)
quebeckers	(K W-EH1_)(B-EH2_)(K-ER0_Z)
quebecois	(K W-EH1_)(B-AH0_)(S W-AA2_)
quebecoise	(K-EH1_)(B-EH0_)(K W-AA2_)
quebecor	(K W-EH1_)(B-IH0_)(K-AO0_R)
quebedeaux	(K W-EH1_)(B-IH0_)(D-OW0_)
quechee	(K W-EH1_)(CH-IY0_)
queen	(K W-IY1_N)
queena	(K W-IY1_)(N-AH0_)
queenan	(K W-IY1_)(N-AH0_N)
queener	(K W-IY1_)(N-ER0_)
queenfish	(K W-IY1_N)(F-IH2_SH)
queenie	(K W-IY1_)(N-IY0_)
queens	(K W-IY1_N Z)
queensberry	(K W-IY1_NZ)(B-EH2_)(R-IY0_)
queensland	(K W-IY1_NZ)(L-AE2_N D)
queensway	(K W-IY1_NZ)(W-EY2_)
queer	(K W-IH1_R)
queerer	(K W-IH1_)(R-ER0_)
queers	(K W-IH1_R Z)
quek	(K W-EH1_K)
quell	(K W-EH1_L)
quelled	(K W-EH1_L D)
quellette	(K W-IH0_)(L-EH1_T)
quelling	(K W-EH1_)(L-IH0_NG)
quello	(K W-EH1_)(L-OW0_)
quemoy	(K W-IH0_)(M-OY1_)
quenby	(K W-EH1_N)(B-IY0_)
quench	(K W-EH1_N CH)
quencher	(K W-EH1_N)(CH-ER0_)
quenchers	(K W-EH1_N)(CH-ER0_Z)
quenching	(K W-EH1_N)(CH-IH0_NG)
quennel	(K W-EH1_)(N-AH0_L)
quenneville	(K W-EY0_)(N-EY0_)(V-IH1_L)
quentin	(K W-EH1_N)(T-IH0_N)
quenzer	(K W-EH1_N)(Z-ER0_)
querida	(K W-EH0_)(R-IY1_)(D-AH0_)
queried	(K W-IH1_)(R-IY0_D)
queries	(K W-IH1_)(R-IY0_Z)
querns	(K W-ER1_N Z)
querry	(K W-EH1_)(R-IY0_)
querulous	(K W-EH1_)(R-AH0_)(L-AH0_S)
query	(K W-IY1_)(R-IY0_)
ques	(K Y-UW1_Z)
quesada	(K W-EY0_)(S-AA1_)(D-AH0_)
quesenberry	(K W-IY1_)(Z-AH0_N)(B-EH0_)(R-IY0_)
quesinberry	(K W-EH1_)(S-IH0_N)(B-EH0_)(R-IY0_)
quesnel	(K W-EY0_)(S N-EH1_L)
quesnell	(K W-EY0_)(S N-EY1_L)
quest	(K W-EH1_S T)
questar	(K W-EH1_)(S T-ER0_)
questech	(K W-EH1_)(S T-EH2_K)
question	(K W-EH1_S)(CH-AH0_N)
questionable	(K W-EH1_S)(CH-AH0_)(N-AH0_)(B-AH0_L)
questioned	(K W-EH1_S)(CH-AH0_N D)
questioner	(K W-EH1_S)(CH-AH0_)(N-ER0_)
questioners	(K W-EH1_S)(CH-AH0_)(N-ER0_Z)
questioning	(K W-EH1_S)(CH-AH0_)(N-IH0_NG)
questionings	(K W-EH1_S)(CH-AH0_)(N-IH0_NG Z)
questionnaire	(K W-EH2_S)(CH-AH0_)(N-EH1_R)
questionnaires	(K W-EH2_S)(CH-AH0_)(N-EH1_R Z)
questions	(K W-EH1_S)(CH-AH0_N Z)
questran	(K W-EH1_)(S T R-AE2_N)
questrom	(K W-EH1_)(S T R-AH0_M)
quests	(K W-EH1_S T S)
queue	(K Y-UW1_)
queues	(K Y-UW1_Z)
queuing	(K Y-UW1_)(-IH0_NG)
quevedo	(K W-EY0_)(V-EY1_)(D-OW0_)
quezada	(K W-EY0_)(Z-AA1_)(D-AH0_)
qui	(K W-IY1_)
quibble	(K W-IH1_)(B-AH0_L)
quibbles	(K W-IH1_)(B-AH0_L Z)
quibbling	(K W-IH1_)(B-AH0_)(L-IH0_NG)
quiche	(K-IY1_SH)
quick	(K W-IH1_K)
quickel	(K W-IH1_)(K-AH0_L)
quicken	(K W-IH1_)(K-AH0_N)
quickened	(K W-IH1_)(K-AH0_N D)
quickening	(K W-IH1_)(K-AH0_)(N-IH0_NG)
quickens	(K W-IH1_)(K-AH0_N Z)
quicker	(K W-IH1_)(K-ER0_)
quickest	(K W-IH1_)(K-IH0_S T)
quickie	(K W-IH1_)(K-IY0_)
quickly	(K W-IH1_)(K L-IY0_)
quickness	(K W-IH1_K)(N-AH0_S)
quicksand	(K W-IH1_K)(S-AE2_N D)
quicksands	(K W-IH1_K)(S-AE2_N D Z)
quicksilver	(K W-IH1_K)(S-IH1_L)(V-ER0_)
quicktime	(K W-IH1_K)(T-AY2_M)
quid	(K W-IH1_D)
quiescent	(K W-AY0_)(-EH1_)(S-AH0_N T)
quiet	(K W-AY1_)(-AH0_T)
quieted	(K W-AY1_)(-AH0_)(T-AH0_D)
quieter	(K W-AY1_)(-AH0_)(T-ER0_)
quietest	(K W-AY1_)(-AH0_)(T-AH0_S T)
quieting	(K W-AY1_)(-AH0_)(T-IH0_NG)
quietist	(K W-AY1_)(-AH0_)(T-AH0_S T)
quietly	(K W-AY1_)(-AH0_T)(L-IY0_)
quietness	(K W-AY1_)(-AH0_T)(N-AH0_S)
quiets	(K W-AY1_)(-AH0_T S)
quiett	(K W-IY1_T)
quievoni	(K W-IH0_)(V-AO1_)(N-IY0_)
quigg	(K W-IH1_G)
quiggle	(K W-IH1_)(G-AH0_L)
quigley	(K W-IH1_)(G L-IY0_)
quijada	(K W-IY0_)(Y-AA1_)(D-AH0_)
quijano	(K W-IY0_)(Y-AA1_)(N-OW0_)
quik	(K W-IH1_K)
quiksilver	(K W-IH1_K)(S-IH1_L)(V-ER0_)
quilali	(K W-IH0_)(L-AA1_)(L-IY0_)
quiles	(K W-IY1_)(L-EH0_S)
quilici	(K W-IY0_)(L-IY1_)(CH-IY0_)
quill	(K W-IH1_L)
quillan	(K W-IH1_)(L-AH0_N)
quillen	(K W-IH1_)(L-AH0_N)
quillian	(K W-IH1_L)(Y-AH0_N)
quillin	(K W-IH1_)(L-IH0_N)
quilling	(K W-IH1_)(L-IH0_NG)
quillman	(K W-IY0_L)(M-AE1_N)
quillon	(K W-IH1_)(L-AH0_N)
quilmes	(K W-IH1_L M Z)
quilt	(K W-IH1_L T)
quilted	(K W-IH1_L)(T-IH0_D)
quilter	(K W-IH1_L)(T-ER0_)
quilters	(K W-IH1_L)(T-ER0_Z)
quilting	(K W-IH1_L)(T-IH0_NG)
quilts	(K W-IH1_L T S)
quilty	(K W-IH1_L)(T-IY0_)
quimby	(K W-IH1_M)(B-IY0_)
quin	(K W-IH1_N)
quina	(K W-IY1_)(N-AH0_)
quinby	(K W-IH1_N)(B-IY0_)
quince	(K W-IH1_N S)
quincey	(K W-IH1_N)(S-IY0_)
quincy	(K W-IH1_N)(S-IY0_)
quindlen	(K W-IH1_ND)(L-AH0_N)
quine	(K W-AY1_N)
quinine	(K W-AY1_)(N-AY2_N)
quinlan	(K W-IH1_N)(L-AH0_N)
quinley	(K W-IH1_N)(L-IY0_)
quinlin	(K W-IH1_N)(L-IH0_N)
quinlivan	(K W-IH1_N)(L-IH0_)(V-AH0_N)
quinn	(K W-IH1_N)
quinnell	(K W-IH1_)(N-AH0_L)
quinney	(K W-IH1_)(N-IY0_)
quinobequin	(K W-IH2_)(N-OW1_)(B-IH0_)(K W-IH0_N)
quinoco	(K W-IH0_)(N-OW1_)(K-OW0_)
quinon	(K W-IH1_)(N-AH0_N)
quinones	(K W-IH0_)(N-OW1_N Z)
quinonez	(K W-IY0_)(N-OW1_)(N-EH0_Z)
quint	(K W-IH1_N T)
quinta	(K W-IH1_N)(T-AH0_)
quintal	(K W-IH1_N)(T-AH0_L)
quintana	(K W-IY0_N)(T-AE1_)(N-AH0_)
quintanar	(K W-IH1_N)(T-AH0_)(N-ER0_)
quintanilla	(K W-IH2_N)(T-AH0_)(N-IH1_)(L-AH0_)
quintela	(K W-IY0_N)(T-EY1_)(L-AH0_)
quinter	(K W-IH1_N)(T-ER0_)
quintero	(K W-IY0_N)(T-EH1_)(R-OW0_)
quinteros	(K W-IY0_N)(T-EH1_)(R-OW0_Z)
quintessence	(K W-IH0_N)(T-EH1_)(S-AH0_N S)
quintessential	(K W-IH2_N)(T-IH0_)(S-EH1_N)(SH-AH0_L)
quintessentially	(K W-IH2_N)(T-AH0_)(S-EH1_N)(CH-AH0_)(L-IY0_)
quintet	(K W-IH0_N)(T-EH1_T)
quintile	(K W-IH1_N)(T-IH0_L)
quintin	(K W-IH1_N)(T-IH0_N)
quintina	(K W-IY0_N)(T-IY1_)(N-AH0_)
quinto	(K W-IH1_N)(T-OW0_)
quinton	(K W-IH0_N)(T-AO1_N)
quints	(K W-IH1_N T S)
quintuple	(K W-IH1_N)(T-UW0_)(P-AH0_L)
quintupled	(K W-IH0_NT)(Y-UW1_)(P-AH0_L D)
quintuplet	(K W-IH1_N)(T-AH1_)(P L-AH0_T)
quintuplets	(K W-IH1_N)(T-AH1_)(P L-AH0_T S)
quip	(K W-IH1_P)
quipp	(K W-IH1_P)
quipped	(K W-IH1_P T)
quips	(K W-IH1_P S)
quiram	(K W-AO1_)(R-AH0_M)
quire	(K W-AY1_R)
quirin	(K W-IH1_)(R-IH0_N)
quiring	(K W-AY1_)(R-IH0_NG)
quirion	(K W-IH1_)(R-IY0_)(-AH0_N)
quirk	(K W-ER1_K)
quirke	(K W-ER1_K)
quirks	(K W-ER1_K S)
quirky	(K W-ER1_)(K-IY0_)
quiroga	(K W-IH0_)(R-OW1_)(G-AH0_)
quiros	(K W-IH1_)(R-OW0_Z)
quiroz	(K W-IH1_)(R-OW0_Z)
quisenberry	(K W-AY1_)(Z-AH0_N)(B-EH0_)(R-IY0_)
quisling	(K W-IH1_Z)(L-IH0_NG)
quist	(K W-IH1_S T)
quit	(K W-IH1_T)
quite	(K W-AY1_T)
quito	(K W-IY1_)(T-OW0_)
quits	(K W-IH1_T S)
quitter	(K W-IH1_)(T-ER0_)
quitters	(K W-IH1_)(T-ER0_Z)
quitting	(K W-IH1_)(T-IH0_NG)
quiver	(K W-IH1_)(V-ER0_)
quivering	(K W-IH1_)(V-ER0_)(-IH0_NG)
quixote	(K-IY0_)(HH-OW1_)(T-IY0_)
quixotic	(K W-IH0_K)(S-AA1_)(T-IH0_K)
quiz	(K W-IH1_Z)
quizard	(K W-IH1_)(Z-ER0_D)
quizzed	(K W-IH1_Z D)
quizzes	(K W-IH1_)(Z-IH0_Z)
quizzical	(K W-IH1_)(Z-AH0_)(K-AH0_L)
quizzing	(K W-IH1_)(Z-IH0_NG)
quo	(K W-OW1_)
quon	(K W-AA1_N)
quorum	(K W-AO1_)(R-AH0_M)
quorums	(K W-AO1_)(R-AH0_M Z)
quota	(K W-OW1_)(T-AH0_)
quotable	(K W-OW1_)(T-AH0_)(B-AH0_L)
quotas	(K W-OW1_)(T-AH0_Z)
quotation	(K W-OW0_)(T-EY1_)(SH-AH0_N)
quotations	(K W-OW0_)(T-EY1_)(SH-AH0_N Z)
quote	(K W-OW1_T)
quoted	(K W-OW1_)(T-AH0_D)
quotes	(K W-OW1_T S)
quotient	(K W-OW1_)(SH-AH0_N T)
quoting	(K W-OW1_)(T-IH0_NG)
quotron	(K W-AA1_)(T R-AH0_N)
qureshey	(K-UH0_)(R-EY1_)(SH-EY0_)
qureshi	(K-UH0_)(R-EY1_)(SH-IY0_)
r	(-AA1_R)
ra	(R-AA1_)
raab	(R-AA1_B)
raabe	(R-AA1_B)
raad	(R-AA1_D)
raap	(R-AA1_P)
raasch	(R-AA1_SH)
raatz	(R-AA1_T S)
rab	(R-AE1_B)
rabago	(R-AA0_)(B-AA1_)(G-OW0_)
rabalais	(R-AE1_)(B-AH0_)(L-EY2_)
rabb	(R-AE1_B)
rabbani	(R-AH0_)(B-AE1_)(N-IY0_)
rabbi	(R-AE1_)(B-AY2_)
rabbinical	(R-AH0_)(B-IH1_)(N-IH0_)(K-AH0_L)
rabbis	(R-AE1_)(B-AY2_Z)
rabbit	(R-AE1_)(B-AH0_T)
rabbitlike	(R-AE1_)(B-AH0_T)(L-AY2_K)
rabbits	(R-AE1_)(B-AH0_T S)
rabbitt	(R-AE1_)(B-IH0_T)
rabble	(R-AE1_)(B-AH0_L)
rabe	(R-EY1_B)
rabel	(R-AE1_)(B-AH0_L)
raben	(R-AE1_)(B-AH0_N)
rabenold	(R-AE1_)(B-IH0_)(N-OW2_L D)
raber	(R-EY1_)(B-ER0_)
rabes	(R-EY1_)(B-IY0_Z)
rabey	(R-EY1_)(B-IY0_)
rabi	(R-AA1_)(B-IY0_)
rabid	(R-AE1_)(B-IH0_D)
rabideau	(R-AE1_)(B-IH0_)(D-OW2_)
rabies	(R-EY1_)(B-IY0_Z)
rabin	(R-AA2_)(B-IY1_N)
rabine	(R-AH0_)(B-IY1_N)
rabiner	(R-AH0_)(B-IY1_)(N-ER0_)
rabinovich	(R-AH0_)(B-IH1_)(N-AH0_)(V-IH0_CH)
rabinovitz	(R-AH0_)(B-IH1_)(N-AH0_)(V-IH0_T S)
rabinowitz	(R-AH0_)(B-IH1_)(N-AH0_)(W-IH0_T S)
rabkin	(R-AE1_B)(K-IH0_N)
rabobank	(R-AA1_)(B-OW0_)(B-AE2_NG K)
raboin	(R-AH0_)(B-OY1_N)
rabold	(R-AE1_)(B-OW0_L D)
rabon	(R-AA0_)(B-AO1_N)
raborn	(R-AE1_)(B-ER0_N)
rabourn	(R-AH0_)(B-UH1_R N)
raboy	(R-AE1_)(B-OY0_)
rabuck	(R-AE1_)(B-AH0_K)
rabuka	(R-AH0_)(B-UW1_)(K-AH0_)
rabun	(R-AE1_)(B-AH0_N)
raburn	(R-AE1_)(B-ER0_N)
raby	(R-EY1_)(B-IY0_)
racal	(R-AE1_)(K-AH0_L)
racamier	(R-AE1_)(K-AH0_)(M-AY2_R)
racanelli	(R-AA0_)(K-AA0_)(N-EH1_)(L-IY0_)
racca	(R-AE1_)(K-AH0_)
raccoon	(R-AE0_)(K-UW1_N)
raccoons	(R-AE0_)(K-UW1_N Z)
race	(R-EY1_S)
raced	(R-EY1_S T)
racehorse	(R-EY1_S)(HH-AO2_R S)
racehorses	(R-AE1_S)(HH-AO2_R)(S-IH0_Z)
racemes	(R-EY0_)(S-IY1_M Z)
racer	(R-EY1_)(S-ER0_)
racers	(R-EY1_)(S-ER0_Z)
races	(R-EY1_)(S-AH0_Z)
racetrack	(R-EY1_)(S T R-AE2_K)
racetracks	(R-EY1_)(S T R-AE2_K S)
racette	(R-AH0_)(S-EH1_T)
raceway	(R-EY1_)(S W-EY2_)
racey	(R-EY1_)(S-IY0_)
rach	(R-AE1_CH)
rachad	(R-AH0_)(SH-AA1_D)
rachal	(R-AE1_)(K-AH0_L)
rachel	(R-EY1_)(CH-AH0_L)
rachelle	(R-AH0_)(SH-EH1_L)
rachels	(R-EY1_)(CH-IH0_L Z)
rachelvolt	(R-AH0_)(SH-EH1_L)(V-AO2_L T)
rachford	(R-AE1_CH)(F-ER0_D)
rachi	(R-AH1_)(SH-IY0_)
rachlin	(R-AE1_)(K L-IH0_N)
rachmaninoff	(R-AE0_K)(M-AE1_)(N-IH0_)(N-AO0_F)
racial	(R-EY1_)(SH-AH0_L)
racialism	(R-EY1_)(SH-AH0_)(L-IH2_)(Z-AH0_M)
racially	(R-EY1_)(SH-AH0_)(L-IY0_)
racicot	(R-AE1_)(S-IH0_)(K-AA0_T)
racine	(R-AH0_)(S-IY1_N)
raciness	(R-EY1_)(S-IY0_)(N-AH0_S)
racing	(R-EY1_)(S-IH0_NG)
racioppi	(R-AA0_)(CH-OW1_)(P-IY0_)
racism	(R-EY1_)(S-IH2_)(Z-AH0_M)
racist	(R-EY1_)(S-IH0_S T)
racists	(R-EY1_)(S-IH0_S T S)
rack	(R-AE1_K)
racked	(R-AE1_K T)
racker	(R-AE1_)(K-ER0_)
rackers	(R-AE1_)(K-ER0_Z)
racket	(R-AE1_)(K-IH0_T)
racketeer	(R-AE2_)(K-IH0_)(T-IH1_R)
racketeering	(R-AE2_)(K-IH0_)(T-IH1_)(R-IH0_NG)
racketeers	(R-AE2_)(K-AH0_)(T-IH1_R Z)
rackets	(R-AE1_)(K-AH0_T S)
racking	(R-AE1_)(K-IH0_NG)
rackley	(R-AE1_)(K L-IY0_)
rackliff	(R-AE1_)(K L-IH0_F)
rackliffe	(R-AE1_)(K L-IH0_F)
rackmil	(R-AE1_K)(M-IH0_L)
rackow	(R-AA1_)(S K-OW0_)
racks	(R-AE1_K S)
raconteur	(R-AE2_)(K-AA0_N)(T-UW1_R)
racquet	(R-AE1_)(K-IH0_T)
racquetball	(R-AE1_)(K-AH0_T)(B-AO2_L)
racquets	(R-AE1_)(K-IH0_T S)
racy	(R-EY1_)(S-IY0_)
racz	(R-AA1_CH)
raczka	(R-AA1_CH)(K-AH0_)
raczkowski	(R-AH0_CH)(K-AO1_F)(S K-IY0_)
raczynski	(R-AH0_)(CH-IH1_N)(S K-IY0_)
rad	(R-AE1_D)
rada	(R-AA1_)(D-AH0_)
radabaugh	(R-AE1_)(D-AH0_)(B-AO0_)
radakovich	(R-AH0_)(D-AE1_)(K-AH0_)(V-IH0_CH)
radant	(R-AA1_)(D-AH0_N T)
radar	(R-EY1_)(D-AA2_R)
radars	(R-EY1_)(D-AA2_R Z)
radatz	(R-AE1_)(D-AH0_T S)
radavan	(R-AA1_)(D-AH0_)(V-AH0_N)
radbert	(R-AE1_D)(B-ER0_T)
radborne	(R-AH0_D)(B-AO1_R N)
radbourn	(R-AH0_D)(B-UH1_R N)
radbourne	(R-AH0_D)(B-UH1_R N)
radburn	(R-AE1_D)(B-ER0_N)
radcliff	(R-AE1_D)(K L-IH0_F)
radcliffe	(R-AE1_D)(K L-IH0_F)
raddatz	(R-AE1_)(D-AH0_T S)
radde	(R-AE1_D)
radder	(R-AE1_)(D-ER0_)
radditz	(R-AE1_)(D-IH0_T S)
radebaugh	(R-AE1_)(D-IH0_)(B-AO0_)
radecki	(R-AH0_)(D-EH1_)(K-IY0_)
radel	(R-AE1_)(D-AH0_L)
radell	(R-AA0_)(D-EY1_L)
radella	(R-AH0_)(D-EH1_)(L-AH0_)
rademacher	(R-AE1_)(D-IH0_)(M-AH0_)(K-ER0_)
rademaker	(R-EY1_D)(M-EY0_)(K-ER0_)
raden	(R-EY1_)(D-AH0_N)
rader	(R-EY1_)(D-ER0_)
radermacher	(R-AE1_)(D-ER0_)(M-AH0_)(K-ER0_)
radford	(R-AE1_D)(F-ER0_D)
radha	(R-AA1_)(D-AH0_)
radi	(R-AA1_)(D-IY0_)
radial	(R-EY1_)(D-IY0_)(-AH0_L)
radially	(R-EY1_)(D-IY0_)(-AH0_)(L-IY0_)
radials	(R-EY1_)(D-IY0_)(-AH0_L Z)
radiance	(R-EY1_)(D-IY0_)(-AH0_N S)
radiant	(R-EY1_)(D-IY0_)(-AH0_N T)
radiate	(R-EY1_)(D-IY0_)(-AH0_T)
radiated	(R-EY1_)(D-IY0_)(-EY2_)(T-AH0_D)
radiates	(R-EY1_)(D-IY0_)(-EY2_T S)
radiating	(R-EY1_)(D-IY0_)(-EY2_)(T-IH0_NG)
radiation	(R-EY2_)(D-IY0_)(-EY1_)(SH-AH0_N)
radiator	(R-EY1_)(D-IY0_)(-EY2_)(T-ER0_)
radiators	(R-EY1_)(D-IY0_)(-EY2_)(T-ER0_Z)
radical	(R-AE1_)(D-AH0_)(K-AH0_L)
radicalism	(R-AE1_)(D-IH0_)(K-AH0_)(L-IH2_)(Z-AH0_M)
radicalization	(R-AE2_)(D-IH0_)(K-AH0_)(L-IH0_)(Z-EY1_)(SH-AH0_N)
radicalize	(R-AE1_)(D-IH0_)(K-AH0_)(L-AY2_Z)
radicalized	(R-AE1_)(D-IH0_)(K-AH0_)(L-AY2_Z D)
radically	(R-AE1_)(D-IH0_)(K L-IY0_)
radicals	(R-AE1_)(D-AH0_)(K-AH0_L Z)
radice	(R-AE1_)(D-IH0_S)
radich	(R-AE1_)(D-IH0_K)
radick	(R-AE1_)(D-IH0_K)
radin	(R-AE1_)(D-IH0_N)
radinka	(R-AH0_)(D-IH1_NG)(K-AH0_)
radio	(R-EY1_)(D-IY0_)(-OW2_)
radioactive	(R-EY2_)(D-IY0_)(-OW0_)(-AE1_K)(T-IH0_V)
radioactivity	(R-EY1_)(D-IY0_)(-OW0_)(-AE0_K)(T-IH1_)(V-AH0_)(T-IY0_)
radioed	(R-EY1_)(D-IY0_)(-OW2_D)
radiography	(R-EY2_)(D-IY0_)(-AA1_)(G R-AH0_)(F-IY0_)
radiological	(R-EY2_)(D-IY0_)(-AH0_)(L-AA1_)(JH-IH0_)(K-AH0_L)
radiologist	(R-EY2_)(D-IY0_)(-AA1_)(L-AH0_)(JH-IH0_S T)
radiologists	(R-EY2_)(D-IY0_)(-AA1_)(L-AH0_)(JH-IH0_S T S)
radiology	(R-EY2_)(D-IY0_)(-AA1_)(L-AH0_)(JH-IY0_)
radioman	(R-EY1_)(D-IY0_)(-OW0_)(M-AE2_N)
radios	(R-EY1_)(D-IY0_)(-OW2_Z)
radish	(R-AE1_)(D-IH0_SH)
radishes	(R-AE1_)(D-IH0_)(SH-IH0_Z)
radisson	(R-AE1_)(D-AH0_)(S-AH0_N)
raditz	(R-EY1_)(D-IH0_T S)
radium	(R-EY1_)(D-IY0_)(-AH0_M)
radius	(R-EY1_)(D-IY0_)(-AH0_S)
radke	(R-EY1_D)(K-IY0_)
radko	(R-AE1_D)(K-OW0_)
radle	(R-EY1_)(D-AH0_L)
radler	(R-EY1_)(D-AH0_)(L-ER0_)
radley	(R-AE1_D)(L-IY0_)
radliff	(R-AE1_D)(L-IH0_F)
radloff	(R-AE1_D)(L-AO0_F)
radman	(R-AE1_D)(M-AH0_N)
radmilla	(R-AE2_D)(M-IH1_)(L-AH0_)
radmund	(R-AE1_D)(M-AH0_N D)
radner	(R-AE1_D)(N-ER0_)
radney	(R-AE1_D)(N-IY0_)
radnor	(R-AE1_D)(N-ER0_)
rado	(R-AA1_)(D-OW0_)
radolf	(R-AE1_)(D-OW0_L F)
radomski	(R-AH0_)(D-AA1_M)(S K-IY0_)
radon	(R-EY1_)(D-AA2_N)
rados	(R-AA1_)(D-OW0_Z)
radosevich	(R-AH0_)(D-AA1_)(S-IH0_)(V-IH0_CH)
radosh	(R-AH0_)(D-AO1_SH)
radovan	(R-AA1_)(D-OW2_)(V-AA2_N)
radowski	(R-AH0_)(D-OW1_)(S K-IY0_)
radtke	(R-AE1_D)(K-IY0_)
radu	(R-AA1_)(D-UW0_)
radwan	(R-AE1_)(D W-AH0_N)
rady	(R-EY1_)(D-IY0_)
radziewicz	(R-AA1_)(JH-AH0_)(V-IH0_CH)
radzik	(R-AE1_D)(Z-IH0_K)
rae	(R-EY1_)
raeburn	(R-EY1_)(B-ER0_N)
raeder	(R-EH1_)(D-ER0_)
raedler	(R-EH1_D)(L-ER0_)
rael	(R-EY1_L)
raether	(R-EH1_)(DH-ER0_)
raetz	(R-IY1_T S)
raf	(R-AE1_F)
rafael	(R-AA2_)(F-AY0_)(-EH1_L)
rafale	(R-AH0_)(F-EY1_L)
rafalski	(R-AH0_)(F-AA1_L)(S K-IY0_)
rafe	(R-EY1_F)
rafelghem	(R-AH0_)(F-EH1_L)(G-AH0_M)
raff	(R-AE1_F)
raffa	(R-AE1_)(F-AH0_)
raffaele	(R-AA0_)(F-AY0_)(-EH1_)(L-EY0_)
raffaelli	(R-AA0_)(F-AA0_)(-EH1_)(L-IY0_)
raffel	(R-AE1_)(F-AH0_L)
raffensperger	(R-AE1_)(F-IH0_N)(S P-ER0_)(G-ER0_)
rafferty	(R-AE1_)(F-ER0_)(T-IY0_)
raffetto	(R-AA0_)(F-EH1_)(T-OW0_)
raffety	(R-AE1_F)(T-IY0_)
raffi	(R-AE1_)(F-IY0_)
raffield	(R-AE1_)(F-IY2_L D)
raffish	(R-AE1_)(F-IH0_SH)
raffle	(R-AE1_)(F-AH0_L)
raffles	(R-AE1_)(F-AH0_L Z)
raffo	(R-AE1_)(F-OW0_)
rafi	(R-AE1_)(F-IY0_)
rafik	(R-AE1_)(F-IH0_K)
rafsanjani	(R-AE2_F)(S-AH0_N)(JH-AA1_)(N-IY0_)
raft	(R-AE1_F T)
rafted	(R-AE1_F)(T-AH0_D)
rafter	(R-AE1_F)(T-ER0_)
rafters	(R-AE1_F)(T-ER0_Z)
raftery	(R-AE1_F)(T-ER0_)(-IY0_)
rafting	(R-AE1_F)(T-IH0_NG)
rafts	(R-AE1_F T S)
rafuse	(R-AA0_)(F-UW1_)(S-IY0_)
rag	(R-AE1_G)
ragain	(R-AE1_)(G-AH0_N)
ragan	(R-EY1_)(G-AH0_N)
ragas	(R-AA1_)(G-AH0_Z)
ragavan	(R-AA1_)(G-AH0_)(V-AA2_N)
rage	(R-EY1_JH)
raged	(R-EY1_JH D)
ragel	(R-EY1_)(G-AH0_L)
ragen	(R-AE1_)(G-AH0_N)
rager	(R-EY1_)(G-ER0_)
rages	(R-EY1_)(JH-IH0_Z)
ragged	(R-AE1_)(G-AH0_D)
raggedy	(R-AE1_)(G-AH0_)(D-IY0_)
raggio	(R-AA1_)(JH-IY0_)(-OW0_)
raghida	(R-AH0_)(G-IY1_)(D-AH0_)
ragin	(R-AE1_)(JH-IH0_N)
raging	(R-EY1_)(JH-IH0_NG)
ragland	(R-AE1_)(G L-AH0_N D)
ragle	(R-EY1_)(G-AH0_L)
raglin	(R-AE1_)(G L-IH0_N)
ragmen	(R-AE1_G)(M-AH0_N)
rago	(R-AA1_)(G-OW0_)
ragon	(R-AA0_)(G-AO1_N)
ragona	(R-AA0_)(G-OW1_)(N-AH0_)
ragone	(R-AA0_)(G-OW1_)(N-IY0_)
ragonese	(R-AA0_)(G-OW0_)(N-EY1_)(Z-IY0_)
rags	(R-AE1_G Z)
ragsdale	(R-AE1_GZ)(D-EY2_L)
ragtag	(R-AE1_G)(T-AE2_G)
ragtime	(R-AE1_G)(T-AY2_M)
ragu	(R-AE0_)(G-UW1_)
ragucci	(R-AA0_)(G-UW1_)(CH-IY0_)
ragunathan	(R-AA0_)(G-UW1_)(N-AH0_)(TH-AA0_N)
ragusa	(R-AA0_)(G-UW1_)(S-AH0_)
ragweed	(R-AE1_)(G W-IY2_D)
rah	(R-AA1_)
rahal	(R-AH0_)(HH-AA1_L)
rahe	(R-EY1_)(HH-IY0_)
raheem	(R-AH0_)(HH-IY1_M)
rahill	(R-AA1_)(HH-IH0_L)
rahilly	(R-AE1_)(HH-AH0_)(L-IY0_)
rahim	(R-AH0_)(HH-IY1_M)
rahl	(R-AA1_L)
rahm	(R-AE1_M)
rahman	(R-AA1_)(M-AH0_N)
